rms,centroid,bandwidth,zcr,entropy,energy_20_100,energy_100_250,energy_250_500,energy_500_1000
0.012458162,676.38800329083,393.2354130062571,0.06103515625,6.1244287,18.193077,8.746363,16.422785,93.76306
0.015983213,696.817686132821,386.1666871585169,0.087890625,6.1330113,28.172817,7.2736726,25.086151,158.93373
0.020241084,445.062373378752,431.3681309479194,0.10546875,4.8445683,113.095825,44.78007,7.7282586,20.49064
0.016825933,284.2929026038852,361.79556568967047,0.09912109375,4.2854204,346.12567,67.31177,8.431911,10.3588085
0.018092426,327.96970011271753,413.71944252082403,0.095703125,4.193471,145.53268,14.481293,4.436965,6.615033
0.015504895,335.26527760022077,402.7894972307615,0.0966796875,4.544464,89.45187,26.34655,5.741412,4.72677
0.017847508,454.4092737152372,443.6794597376375,0.109375,4.665587,39.590572,8.684219,3.6064527,7.555111
0.022872614,717.0157427905676,366.09323475255223,0.10009765625,5.902868,55.98129,4.1832323,18.764008,224.69687
0.02381754,621.9107854376156,406.9022902251142,0.0908203125,5.4212403,365.39252,12.06121,21.956947,284.08347
0.025106426,502.6717493842596,412.15764843198906,0.08154296875,4.748844,312.36307,9.594698,9.974837,94.54605
0.020307902,557.8019490697783,392.2087164688482,0.08984375,5.584525,96.50763,21.781162,14.229674,109.17103
0.01440643,419.6761509650893,418.9734236768094,0.099609375,4.729566,72.5344,20.854422,7.8184977,11.924798
0.015468118,476.94120660205374,461.6946810615036,0.11474609375,4.3942566,26.661554,3.762151,3.1819272,4.9826007
0.014550531,390.9766494235365,442.3290380449193,0.1357421875,4.2679086,155.8946,10.005675,4.7361436,8.88647
0.016584063,385.11039609271245,426.68838309366606,0.13623046875,4.313739,217.261,20.415678,9.013647,14.864382
0.027835254,420.61730681423956,409.21056801838404,0.1533203125,4.825805,130.64304,36.779125,13.514256,24.93063
0.026068343,650.6424076693891,370.2996824619047,0.158203125,5.953974,135.61116,46.42555,34.225708,560.7392
0.030483542,704.7392114970373,342.2832979885209,0.14013671875,5.887046,58.363712,18.793299,36.032333,696.19305
0.029956464,426.05705493616017,408.13804821611444,0.138671875,4.299022,429.592,19.131924,12.920675,63.7243
0.022483505,319.58346814269635,364.826357556709,0.13720703125,4.1122246,365.16632,32.302155,25.46813,15.129723
0.02323138,364.250544609249,340.91911558390893,0.14013671875,5.189262,138.75983,71.62751,53.39769,27.916725
0.023222702,382.43781221964923,336.77528786998045,0.14501953125,5.2952886,84.62029,94.146164,53.213932,37.59552
0.02334106,326.00440726895295,334.59402794260495,0.14013671875,4.690887,248.243,81.85117,48.971855,20.787296
0.021544838,284.07984783992333,332.06572039142674,0.1416015625,4.166945,490.29297,66.216675,40.02021,12.56202
0.020623311,361.0720590727161,375.4780725015991,0.154296875,4.8424997,95.22739,49.02398,23.87515,11.791006
0.017554395,418.3670406114741,399.2741125765031,0.15380859375,5.143592,55.364674,31.467203,17.534676,17.221605
0.016502537,367.691444617761,409.0685007132703,0.15234375,4.2031007,219.03107,15.582692,8.953145,13.478359
0.017817399,314.58174691497254,385.75219574742437,0.15234375,3.8183167,314.64703,11.560783,5.6901007,8.530257
0.017837958,410.5812230874674,352.65092357635103,0.14501953125,5.2132864,70.522644,26.651056,44.186253,17.778763
0.01827901,413.566363363417,333.29718327481385,0.1455078125,5.3923974,64.510414,35.267136,84.04273,23.4864
0.018189343,344.5090713445751,356.4871235160534,0.171875,4.154148,282.79617,12.615676,33.588818,12.499922
0.016647618,395.284097325916,437.90683239917524,0.15771484375,3.7464542,289.39758,5.831804,6.898802,11.249986
0.016072758,458.8423978030587,439.3637088262601,0.15576171875,4.73476,53.852093,8.485459,4.119553,8.751988
0.01773167,369.37379382558964,387.49352115758614,0.1484375,4.278206,67.466606,7.7497125,2.6840441,7.898098
0.025614679,543.4144660996348,403.7654994176037,0.13818359375,4.6945996,412.3876,7.1808352,8.320528,149.21196
0.026129212,650.1297883775474,367.95440172216894,0.14306640625,5.608262,345.08664,7.9455047,27.228563,609.1342
0.02613533,620.0241216004363,382.83865804315155,0.13623046875,5.6128154,107.68624,11.60169,11.4859495,172.39522
0.026149267,393.3740774683025,418.62401546364947,0.13818359375,4.2070146,90.35841,9.320262,4.449504,8.957115
0.018925505,312.6305689359059,407.5560138118424,0.11767578125,3.7997942,304.35175,8.989754,2.758059,7.162823
0.018667454,290.3508766436129,407.5845698392334,0.1083984375,3.6431665,453.95508,11.828672,2.4153776,6.0842204
0.01863312,347.6154115177268,413.98730828727264,0.10400390625,4.117128,98.12625,9.64362,3.6053123,3.9906435
0.010068462,319.2643800797659,378.16531822650444,0.1181640625,4.0295362,92.22167,12.173241,4.32844,3.3105266
0.019864447,397.1760162528906,418.772758676462,0.10888671875,4.1976852,38.869884,3.5726128,2.0271776,3.493192
0.019146329,243.94979602025944,337.6497834145298,0.10986328125,3.708332,414.94907,16.730236,4.0541105,4.5477524
0.021494975,242.59793397437957,346.25742060600714,0.09619140625,3.6957333,488.33118,21.575617,4.173738,4.2721906
