source,target,lag,p_value,f_stat
rms,centroid,2,0.027199569154153492,3.6989736246351708
rms,bandwidth,1,0.013141470220583724,6.306534195839586
rms,entropy,2,0.0065487201764324555,5.213501135043392
rms,energy_20_100,2,0.003115648694232018,6.015908490049767
rms,energy_100_250,2,0.00781902407735426,5.023247737752817
rms,energy_250_500,2,9.993661980920294e-22,69.66962705553509
rms,energy_500_1000,2,0.0003998144989044859,8.27857625369695
centroid,bandwidth,2,0.00019867264719971084,9.064546046049369
centroid,zcr,2,0.0023990143248993584,6.300281860429834
centroid,energy_100_250,2,0.026562341138712055,3.7239372379160254
bandwidth,rms,2,0.018413715159772054,4.1108397016963165
bandwidth,entropy,1,0.03240885973495575,4.667273165881151
zcr,centroid,2,1.587980332856642e-06,14.71164391331352
zcr,bandwidth,2,0.012067908553349436,4.559553229691575
zcr,entropy,2,0.0009830857509093153,7.27891572272059
zcr,energy_100_250,2,0.005660276530411455,5.370320026626461
entropy,centroid,2,0.01378787508583349,4.417769590710378
entropy,energy_20_100,2,0.003632424440692048,5.84943925546657
entropy,energy_250_500,2,0.02331565856241438,3.861369996020401
entropy,energy_500_1000,2,0.0228361712784029,3.8832989326161473
energy_20_100,rms,1,0.028137653141753982,4.919164254777034
energy_20_100,centroid,2,0.03225246080534625,3.5197945798872263
energy_20_100,bandwidth,2,0.0019500322132035373,6.526478468758264
energy_20_100,energy_100_250,1,0.000706372001989702,11.988411085003722
energy_100_250,rms,1,0.030737041412982117,4.761446927814684
energy_100_250,bandwidth,1,0.013001059168689063,6.3264432492381
energy_100_250,energy_20_100,2,1.2503015262934065e-11,30.197058482622047
energy_250_500,rms,2,4.9011844861708955e-09,22.004278729290803
energy_250_500,bandwidth,1,0.04507937611643156,4.087014541652591
energy_250_500,entropy,2,0.006607245986533459,5.20394179937363
energy_250_500,energy_20_100,1,0.0007661860921694182,11.824276004373262
energy_250_500,energy_100_250,1,0.007285950261668094,7.411896125678602
energy_500_1000,rms,2,0.04710415425000938,3.123056609887114
energy_500_1000,energy_100_250,1,0.04134232752619747,4.238056817445975
