source,target,lag,p_value,f_stat
rms,centroid,2,8.14014057582218e-12,29.252234963432464
rms,bandwidth,2,0.03098064713967202,3.538029839680015
rms,zcr,2,7.597973256545258e-08,17.87558770827485
rms,entropy,1,5.1827011191482417e-05,17.133144797073573
rms,energy_20_100,2,5.648161494425048e-14,35.90832350490797
rms,energy_100_250,2,1.2948675960094638e-25,78.38891897007935
rms,energy_250_500,1,3.7586821739917e-07,27.67589830252684
rms,energy_500_1000,2,3.6018421885202286e-07,16.044557974018865
centroid,rms,2,4.675786529854496e-08,18.45292957638894
centroid,bandwidth,1,5.513097764169684e-08,31.96733064055201
centroid,zcr,2,3.74469082153742e-06,13.344803901667065
centroid,entropy,1,0.011257003456732464,6.548283680261263
centroid,energy_20_100,2,3.2993035613920927e-10,24.514046129514973
centroid,energy_100_250,2,2.076359649262895e-08,19.42485327493098
centroid,energy_500_1000,2,0.0072224494192641795,5.059373769814128
bandwidth,rms,2,4.45471878803885e-11,27.054081086722192
bandwidth,centroid,1,1.221271786444978e-14,69.78149448530654
bandwidth,zcr,1,1.0105820051415883e-12,58.227235924590374
bandwidth,entropy,1,0.0002530796322862411,13.896163283641314
bandwidth,energy_20_100,2,1.1953154421561007e-16,44.6471026341181
bandwidth,energy_100_250,2,5.035728356151708e-19,52.89316124710964
zcr,rms,2,0.00013949689524248403,9.300884476281134
zcr,centroid,2,4.972858878587516e-19,52.912647786336095
zcr,bandwidth,2,1.0704687932486713e-14,38.21359326143373
zcr,energy_250_500,1,0.0011187349297774442,10.943132348594668
zcr,energy_500_1000,2,3.981887504870843e-06,13.274871912250884
entropy,rms,2,8.683240324658365e-06,12.391018558170035
entropy,centroid,2,2.962811641078472e-13,33.65053581089797
entropy,bandwidth,1,4.248082887714243e-06,22.399036734623696
entropy,zcr,2,2.8807885138422855e-06,13.643945780419461
entropy,energy_100_250,2,0.0004851475973521223,7.942553111839441
entropy,energy_250_500,2,0.0002792917748630018,8.542157989367508
entropy,energy_500_1000,2,2.0787870445488965e-05,11.409834033073675
energy_20_100,rms,2,4.0169977104210714e-07,15.917308743615358
energy_20_100,centroid,2,0.00013357217385030645,9.348500435740199
energy_20_100,bandwidth,2,0.013551541841038283,4.3990686199831295
energy_20_100,zcr,2,0.00010960879559256507,9.56570281186285
energy_20_100,entropy,1,0.0005224950447796628,12.445373659336134
energy_100_250,rms,2,2.6778534254082615e-14,36.93778975658402
energy_100_250,centroid,2,9.610314386879673e-15,38.36445134130072
energy_100_250,bandwidth,2,8.494463548015748e-10,23.33268163158823
energy_100_250,zcr,1,1.8943780809868177e-13,62.543811606661
energy_100_250,entropy,1,1.0945076794674946e-09,41.03673607491736
energy_100_250,energy_20_100,1,0.027265535481753866,4.948142129503287
energy_100_250,energy_500_1000,2,0.00484237303970777,5.481110184247603
energy_250_500,rms,1,3.1784622046613367e-07,28.046770119987347
energy_250_500,centroid,2,3.957991426558036e-06,13.28172374491334
energy_250_500,zcr,2,0.005850012283517281,5.281474787750296
energy_250_500,entropy,2,0.0008522132466015907,7.334344399040898
energy_250_500,energy_20_100,1,0.006528253675752147,7.560190884309858
energy_250_500,energy_100_250,2,1.0804562274296239e-05,12.144513589211266
energy_250_500,energy_500_1000,2,0.04123910630433968,3.2419056583916266
energy_500_1000,rms,1,0.0006910465682492832,11.89104713823517
energy_500_1000,centroid,2,1.0281089731659712e-06,14.827063248056582
energy_500_1000,bandwidth,2,0.006049757010977002,5.246059529422282
energy_500_1000,entropy,2,0.008336418522057278,4.9084874585481275
energy_500_1000,energy_20_100,2,0.005164486720964697,5.4130552322252985
