file,duration,samplerate,rms,peak,dynamic_range,zcr,spectral_centroid,bandwidth,rolloff,mfcc_mean,mfcc_std,silent,clipped
13918_AV.wav,10.288,4000,0.05146318,1.0,19.431364,0.15131896219135801,385.7083051776299,413.46938677607915,829.3547453703703,1.0830356,57.784576,False,True
13918_MV.wav,28.784,4000,0.035359297,1.0,28.281096,0.17327039930555554,393.24962136167323,362.15248736161993,760.1736111111111,-2.7560904,68.30395,False,True
13918_PV.wav,9.392,4000,0.044044796,1.0,22.704151,0.22410789695945946,408.74456918047395,387.0948123986004,783.3086993243244,-2.354757,59.00955,False,True
13918_TV.wav,6.592,4000,0.048927646,1.0,20.438337,0.20196063701923078,374.5783675367692,379.4765853193401,755.9344951923077,-2.457766,59.739185,False,True
14241_AV.wav,20.48,4000,0.038566284,0.9999695,25.928585,0.1870996700310559,437.6010935949975,365.02021809979703,763.283676242236,-5.005026,65.90798,False,True
14241_MV.wav,20.048,4000,0.04824985,1.0,20.725449,0.19767615445859874,545.3304654581989,422.03762594452496,1023.499701433121,-6.2417326,62.057743,False,True
14241_PV.wav,21.296,4000,0.041051462,0.9999695,24.358917,0.17591867047155688,392.2893211841406,352.3542594395102,699.3941803892216,-2.5703192,65.9608,False,True
14241_TV.wav,32.848,4000,0.045061644,1.0,22.191816,0.17735438959143968,435.39708137213444,409.64595706087835,877.5383025291828,-9.279441,76.38467,False,True
14998_AV.wav,22.048,4000,0.043273427,0.94873047,21.924084,0.20853843027456648,484.37706301274767,388.1015057480743,905.6064848265896,-1.5239486,56.852364,False,False
14998_MV.wav,22.784,4000,0.06810835,0.9999695,14.682038,0.2276809095670391,478.4204622064619,404.49552950217094,905.846281424581,2.7016962,47.781887,False,True
14998_PV.wav,20.592,4000,0.059834845,0.93847656,15.684445,0.16957613548136646,381.3706335239614,333.0243410668223,699.1823563664597,0.6337545,61.08099,False,False
14998_TV.wav,27.184,4000,0.06223482,0.95703125,15.377744,0.21271181778169015,480.06262380209114,430.0006219434378,960.8182951877934,3.5496047,47.661423,False,False
23625_AV.wav,20.464,4000,0.03500719,0.9638672,27.533398,0.10771484375,427.80545389884475,326.2926617222041,747.59521484375,-2.7393007,78.90027,False,False
23625_MV.wav,21.28,4000,0.02461296,0.9372864,38.080997,0.07564850767215568,261.8981934192443,281.85128324216834,438.0145958083832,-8.117666,95.99498,False,False
23625_PV.wav,30.64,4000,0.031479895,0.9448242,30.013565,0.14443155924479167,425.954698655112,364.378147497383,795.2718098958334,-3.763433,73.88951,False,False
23625_TV.wav,20.496,4000,0.027884513,0.99102783,35.54043,0.09388344332298136,360.9457831566228,328.524996834045,681.8589868012423,-5.043466,82.15921,False,True
